사업장명,소재지전체주소,전화번호,위치정보(X),위치정보(Y)
해피블럭카페 신도림점,서울특별시 구로구 신도림동 437-1번지 태영프라자 209호일부 ,,189692.8624,445219.9123
블럭이랑,서울특별시 중랑구 신내동 255-1번지 ,070-4141-4763,209355,457471
더키즈프리미엄키즈카페,서울특별시 광진구 중곡동 629-6번지 3층 301호,02-464-0783,206831.457,451071.7502
아이노리,서울특별시 금천구 시흥동 1013-7번지 벽산중심상가 지상2층 203204호 ,02-892-1231,192442.4521,438996.5314
헬로방방 남가좌충암점,서울특별시 서대문구 남가좌동 2-4번지 7층 ,02-372-4857,193186.4612,453897.6968
챔피언,서울특별시 강서구 등촌동 73-1번지 금부빌딩 (지하 1층) ,,187036.1941,451351.0978
꼬마대통령,서울특별시 강동구 천호동 453-18번지 (2층) ,02-486-5553,211226.4485,448733.1301
알로하베베,서울특별시 중랑구 상봉동 100-7번지 ,02-3405-5000,207607.7024,455263.2022
이가커피,서울특별시 관악구 봉천동 1638-22번지 108호,,196993.1643,441629.9447
릴리펏한남더힐점,서울특별시 용산구 한남동 28-2번지 지하1층 ,,200866.9198,448350.9788
키즈필키즈카페,서울특별시 강동구 성내동 439-8번지 3층 ,070-8873-8061,211862.814,447299.3294
에르마노 키즈카페,서울특별시 강동구 명일동 344-15번지 ,,212742.1892,449688.6699
더치앤빈,서울특별시 구로구 구로동 170-10번지 대륭포스트타워7차 107호,,190669.9752,443095.1381
미니랜드,서울특별시 양천구 목동 754-4번지 지상3층 ,,188594.6523,448770.6379
아이와,서울특별시 강동구 암사동 508번지 광나루 삼성아파트 상가동 201호 ,,211293.6175,450567.3057
모이키즈,서울특별시 마포구 성산동 151-6번지 3층 ,,191607.3067,452222.1261
릴리펏마포공덕,,02-701-3321,195206.9623,449510.9728
릴리펏합정메세나폴리스점,서울특별시 마포구 서교동 490번지 메세나폴리스몰1층 123호~129호 ,,192416.9856,450223.5427
키즈필 키즈카페,서울특별시 은평구 응암동 87-1번지 3층 ,,193209.3924,455780.6482
김피라 롯데월드언더씨킹덤점,서울특별시 은평구 진관동 63번지 롯데몰 은평점4층 ,02-3434-8000,192654,459365
브리꼴라쥬,서울특별시 은평구 역촌동 27-7번지 4층 ,,193087.9224,456132.2116
닥터밸런스 서울서부점,서울특별시 금천구 가산동 60-20번지 마리오아울렛3 ,02-2067-2339,189835.3284,442118.0781
노리파크,서울특별시 강동구 암사동 511-20번지 ,02-6285-5800,211169.0007,450110.719
키즈카페어린왕자,서울특별시 관악구 봉천동 859-7번지 엔젤빌딩9층 ,,195911.8862,442651.1
점핑박사,서울특별시 동작구 상도동 23-46번지 농협 ,02-824-3008,195119.5577,445110.7692
플레이즈 라운지,서울특별시 성동구 성수동1가 685-696번지 갤러리아 포레 B105호,02-468-5882,203754,449253
릴리펏 명일점,서울특별시 강동구 명일동 306-1번지 ,,212719.1905,450491.3272
릴리펏 현대백화점 천호점,서울특별시 강동구 천호동 455-8번지 현대백화점 ,02-2225-7892,210997.2579,448824.4221
파파스토리노원점,서울특별시 노원구 상계동 371-2번지 백암빌딩 2층 ,,205888.0242,461981.4215
비지비키즈카페,서울특별시 동대문구 장안동 335-5번지 ,,206529.9465,452487.6693
폴 바셋 강남GT타워점,서울특별시 서초구 서초동 1317-23번지 1층 GT TOWER ,02-2056-3029,202292.3015,444294.4813
원풀키즈카페,서울특별시 동대문구 장안동 336번지 현대홈타운상가 지하1층 ,02-2243-5959,206745.4202,452413.2792
원풀 키즈카페,서울특별시 성동구 하왕십리동 700번지 센트라스1층 I동 108호,,202122,451451
(주)바운스 반포점,서울특별시 서초구 반포동 52-1번지 5층 ,,200994.1466,444764.6686
스마트브릭 키즈카페,서울특별시 강남구 신사동 638-6번지 ,,203139.3204,447698.6861
키키트리,서울특별시 마포구 아현동 780번지 애오개아이파크 ,,196027,450200
노랑라운지,서울특별시 강동구 암사동 513-32번지 ,02-441-8250,211204.0265,449955.6028
키즈앤토이,서울특별시 강동구 천호동 397-3번지 ,,211568.1007,449204.8141
헬로 HELLO,서울특별시 마포구 공덕동 105-98번지 1층일부 ,,196096.7925,450163.5672
디보빌리지 노원,서울특별시 노원구 상계동 292-1번지 ,02-950-0800,205637.7169,461756.6688
타요키즈카페중계점,서울특별시 노원구 중계동 434-1번지 ,,206587.5214,461974.0921
핌(P.I.M),서울특별시 서초구 반포동 649번지 솔빛섬 1층2층 ,,199643.0481,445894.2522
점프노리,서울특별시 도봉구 창동 628-20번지 지상2층 ,02-998-7770,203097.1001,460433.7837
키즈필실내놀이터,서울특별시 도봉구 쌍문동 358번지 동주빌딩 3층 ,02-904-3210,202227.376,461066.5021
키즈필키즈카페,서울특별시 성북구 하월곡동 79-107번지 지상5층 ,,203140.2777,456876.5341
쁘띠몽드 서울봉천점,서울특별시 관악구 봉천동 1706번지 ,02-877-1136,196522.7945,442960.8282
