사업장명,소재지전체주소,전화번호,위치정보(X),위치정보(Y)
배스킨라빈스31(대방역점),서울특별시 동작구 대방동 354-1번지 파밀리에 하늘마루 ,,193354,445417
(주)스타럭스 콜드스톤크리머리 이대역점,서울특별시 서대문구 대현동 45-10번지 1층 일부 ,02  312 0426,195229.9245,450854.7922
베스킨라빈스,"서울특별시 노원구 상계동 724-3번지 104,105호 ",02 9372435,205562.2417,461657.8949
베스킨라빈스,서울특별시 노원구 중계동 366-6번지 ,02 9353636,206824.8548,461283.8052
베스킨라빈스31아이스크림,서울특별시 노원구 월계동 58-2번지 1층동 ,02 9199007,205660.4852,457340.0096
배스킨라빈스홈플러스중계점,서울특별시 노원구 중계동 509-2번지 홈플러스중계점 1층 ,02 9493131,206060.6841,460028.9489
배스킨라빈스월계이마트점,서울특별시 노원구 월계동 333-1번지 ,9745431,205471.3496,458546.9698
배스킨라빈스,서울특별시 노원구 중계동 506번지 브라운스톤 117호 ,,205673.7261,460030.6622
베스킨라빈스,"서울특별시 노원구 중계동 360-9번지 두타빌 B동 103호,104호 ",02 9381313,206740.947,461145.4483
베스킨라빈스 수락산점,서울특별시 노원구 상계동 1132-105번지 ,02  22666282,204903.4008,464191.4266
베스킨라빈스(마들역점),서울특별시 노원구 상계동 651번지 주공 11단지종합상가 116호,,204962.0527,462608.5381
배스킨라빈스 화랑대점,"서울특별시 노원구 공릉동 89-1번지 대덕프라자 1층, 101-1호 ",,207383.6187,457917.6062
베스킨라빈스,서울특별시 노원구 월계동 383-25번지 (광운로65) ,,205296.8798,458176.2599
에맥앤볼리오스 을지로,서울특별시 중구 을지로1가 87번지 부영 을지빌딩 지하1층 ,,198323.6421,451883.6883
줄리앙와플,서울특별시 서초구 방배동 772-1번지 삼호아파트 ,,198951.0582,444032.8757
장미그리다,서울특별시 서초구 반포동 19-3번지 센트럴시티빌딩 ,,200390.1714,445018.63
마이요(Myyo),서울특별시 강남구 신사동 648-4번지 ,02  546 3386,203266.4002,447241.1523
오슬로,서울특별시 서초구 반포동 19-3번지 센트럴시티 1층 116-1 ,02  537 7479,200390.1714,445018.63
컬쳐리퍼블릭 아이스빌,서울특별시 구로구 고척동 63-6번지 지1층 C-10호,226851110,188161,444121
배스킨라빈스,서울특별시 동작구 상도동 536번지 ,232800031,194850.9576,445101.679
배스킨라빈스(영등포역남부점),서울특별시 영등포구 영등포동 618-85번지 1층 ,02 8318300,191673.9784,446036.5675
밀키비,서울특별시 중구 명동2가 2-3번지 1층 ,,198701.8439,451580.9231
O.GUN아이스크림,서울특별시 동작구 노량진동 13-6번지 ,,194496.4969,446191.7087
범산목장 서초서이점,서울특별시 서초구 서초동 1332-2번지 무지개상가 현대할인마트 내 지하1층 ,,202291.3013,443641.3974
범산목장 이대점,서울특별시 서대문구 대현동 37-61번지 1층 ,,195043.4993,451013.153
베스킨라빈스 남부터미널역점,서울특별시 서초구 서초동 1458-6번지 상가동 지하 1층 103호,,201210.8648,442755.3186
우리집 젤라또,서울특별시 서초구 방배동 789-39번지 1층 ,,198732.6146,443516.4226
바세츠 아이스크림,서울특별시 강남구 대치동 988-14번지 SM TOWER ,02  553 7714,205404.8905,444438.756
에맥앤볼리오스 명동점,서울특별시 중구 충무로2가 63-5번지 NHS TOWER 1층 ,02 7563456,198782.8154,451339.5333
하겐다즈 교대점,서울특별시 서초구 서초동 1685-3번지 아크로비스타 L114-1호,234821002,201197.177,444399.5805
하루 젤라또,서울특별시 서초구 반포동 707번지 101호,7032627970,201840.5577,445641.2766
배스킨라빈스 세로수길,서울특별시 강남구 신사동 515-6번지 ,02  22764679,201978.3128,446547.1283
주식회사분코,서울특별시 용산구 한강로2가 49-1번지 지하1층 ,,197572.2856,448013.123
배스킨라빈스강북구청점,서울특별시 강북구 수유동 177-19번지 1층 ,,202330.3628,460103.5497
배스킨라빈스공항철도서울역사,서울특별시 용산구 동자동 43-227번지 외 4필지 한국철도공사 지상1층 15번출구 방향 ,,197391.7725,450455.7807
밀크홀1937 종로점,서울특별시 종로구 종로2가 71-5번지 ,220948398,198859.0396,452267.2334
배스킨라빈스 노원로데오점,서울특별시 노원구 상계동 602-3번지 현성빌딩 104호,,205492.9711,461859.4726
배스킨라빈스상계역점,"서울특별시 노원구 중계동 591번지 대호프라자상가 104호,105호 ",9353039,206462.4726,462243.5555
매그넘카페강남점,"서울특별시 서초구 서초동 1303-35번지 1층 102,103호 ",02  470 2316,202170.2391,444821.7628
커피상회,서울특별시 영등포구 대림동 663-8번지 ,,190994.7847,444690.1718
퍼펙트아이스,서울특별시 서초구 서초동 1498-5번지 지하1층 ,,200446,443157
쓰리트윈즈 코엑스점,서울특별시 강남구 삼성동 159번지 코엑스 ,02  33976846,205230.342,445818.0717
(주)스타럭스 콜드스톤크리머리 강남대로점,서울특별시 강남구 역삼동 814-5번지 ,02  556 0510,202325.2847,444751.3728
오슬로여의도교직원공제회관점,서울특별시 영등포구 여의도동 35-3번지 한국교직원공제회관 지하1층 ,,193444.3157,446936.3262
범산목장,서울특별시 중구 신당동 250-7번지 1층 ,,201166.3139,451744.4534
(주)나이스커피시스템,서울특별시 강남구 삼성동 159번지 코엑스 ,02  588 5842,205230.342,445818.0717
이비에이(EBA),서울특별시 강남구 압구정동 494번지 갤러리아백화점 ,02  34494072,203540.832,447666.6218
베스킨라빈스창동1호점,서울특별시 도봉구 창동 13번지 유진빌딩 107호 ,02 9991131,204382.8817,461532.8095
더젤라또바 한양대엠케이점,서울특별시 성동구 행당동 17번지 ,203348901,204410.3731,451211.864
범산목장 성모병원반포점,서울특별시 서초구 반포동 505번지 지하1층 본관 ,,200577.6805,444829.8956
아붕,서울특별시 종로구 계동 129-3번지 1층 ,,198837.6388,453458.741
라인프렌즈(주),서울특별시 중구 남대문로2가 123번지 ,221185186,198368.2006,451550.5182
배스킨라빈스 개포점,서울특별시 강남구 개포동 186-16번지 ,,206044.241,443317.3898
당도,서울특별시 마포구 망원동 414-16번지 ,,191593.0215,450769.9933
오슬로(합정교보문고점),서울특별시 마포구 합정동 472번지 ,,192173,449727
바세츠아이스크림,서울특별시 성북구 장위동 289-15번지 꿈의숲코오롱하늘채아파트 104동 106호,,203910.2237,457493.8703
배스킨라빈스 사당방배,서울특별시 서초구 방배동 441-1번지 1층 일부 ,031  3423199,198426.5794,442328.3709
아이스렛,서울특별시 서초구 반포동 18-4번지 레미안퍼스티지신반포역상가 106호,,199619.2455,444846.5171
밀크이즘(milkism),서울특별시 노원구 상계동 713번지 롯데백화점 ,15220761,205456.8186,461763.8275
프로즌 브라이드(얼음신부),서울특별시 송파구 문정동 634번지 현대시티몰 가든파이브점 아울렛관 ,,211053.1195,442026.9888
앙시엔,서울특별시 종로구 계동 146-1번지 ,1045492162,198819.1439,453124.6619
배스킨라빈스 길동역점,서울특별시 강동구 길동 389-2번지 ,02  474 8097,212329.0598,448659.9784
크림바바,서울특별시 성동구 행당동 155-1번지 서울숲 더샵 ,,203523,450411
아로하아이스앤커피,서울특별시 강서구 가양동 1482번지 가양도시개발공사아파트(가양8단지아파트) (지상 1층) 상가동 104호,,187450.3668,451494.3469
세계에서 2번째로 맛있는 갓구운 메론빵아이스 성수점,서울특별시 성동구 성수동2가 328-13번지 ,,204987.1276,448908.1412
쿠크봉,서울특별시 마포구 서교동 486번지 서교푸르지오 ,02 64491533,193257.4565,450473.7641
홍차당,서울특별시 영등포구 여의도동 53번지 우정빌딩 1층 103-1호 ,218336674,194056.3233,446658.395
베스킨라빈스 은행나무점,"서울특별시 금천구 시흥동 271-35번지 지상1,2층 ",02  891 9131,192073.5466,439007.2139
베스킨라빈스(화곡대림점),"서울특별시 강서구 화곡동 362-86번지 1동, 1층 ",226073133,185730.4775,448289.4157
키스더티라미수,서울특별시 동대문구 전농동 587번지 ,,204517.6485,453850.0882
베스킨라빈스영등포신길점,서울특별시 영등포구 신길동 115-14번지 1층 ,,192617.3157,445809.3337
에맥앤볼리오스상봉점,서울특별시 중랑구 상봉동 130-3번지 안산빌딩 ,02  62228766,206601.6857,454837.5765
젤라레,서울특별시 성북구 길음동 20-1번지 현대백화점미아점 ,,202538.0105,456535.5908
이마트24 삼청동점,서울특별시 종로구 화동 61번지 안송빌딩 ,1055030158,198351.0913,453558.2878
알래스카랩 대신파이낸스점,서울특별시 중구 저동1가 48번지 대신파이낸스센터 3층 ,,198800,451444
로반스윗,서울특별시 마포구 서교동 490번지 메세나폴리스 ,,192416.9856,450223.5427
브알라 연세대 신촌캠퍼스,서울특별시 서대문구 신촌동 134번지 연세대학교 SK국제2학사(지하2층) ,,195227.1686,452804.3756
유토피아스파 요거하우스,서울특별시 구로구 구로동 186-7번지 예성유토피아 찜질방내 B101호,02  839 6800,191027.7747,442976.9048
베스킨라빈스 개봉푸르지오점,서울특별시 구로구 개봉동 492번지 개봉푸르지오상가 106동 106호,,186651.4833,444701.4643
빙달눈꽃빙수노원점,서울특별시 노원구 상계동 720-7번지 상계주공6단지제마상가동 105호,,205910.3289,461623.3365
베스킨라빈스 성북종암점,서울특별시 성북구 종암동 86-4번지 1층 ,,202992.6955,455582.1658
컬쳐리퍼블릭 침니케이크,서울특별시 구로구 고척동 63-6번지 고척스카이돔 C-8호,226851110,188161,444121
알라스카인제주 가양역점,서울특별시 강서구 등촌동 73-1번지 금부빌딩 (지상 1층) ,,187036.1941,451351.0978
백미당 D타워점,서울특별시 종로구 청진동 246번지 ,221956806,198089,452098
더젤라또바,서울특별시 마포구 성산동 275-3번지 ,,191956.4293,451621.7907
베스킨라빈스 강남신논현점,"서울특별시 서초구 서초동 1309-8번지 1층 101호(?), 케이아이타워 ",02  22764948,202177.2741,444709.785
베스킨라빈스 용산아이파크점,서울특별시 용산구 한강로3가 40-999번지 지상6층 5-2호,,196883.5107,447808.9973
스틱하우스(ssg목동점),서울특별시 양천구 목동 404-13번지 목동센트럴푸르지오 지하1층 ,,189062,446850
베스킨라빈스 강서구청점,서울특별시 강서구 화곡동 980-21번지 강서아이파크 102호,02  26032368,186660.5518,450128.2023
명동7번가,서울특별시 중구 을지로2가 199-40번지 1층 103호 ,,198573.9757,451688.6143
베스킨라빈스 롯데몰 은평점,서울특별시 은평구 진관동 63번지 롯데몰 은평점 지하1층 ,,192654,459365
배스킨라빈스 명동1호점,"서울특별시 중구 충무로1가 25-2번지 1,2층 ",02  22764948,198503.1485,451295.596
영원아이스크림바(01 ICE CREAM BAR),서울특별시 마포구 염리동 148-8번지 ,,195246.9514,449644.6612
배스킨라빈스 아현역점,서울특별시 서대문구 북아현동 149번지 e편한세상 4획지 108호,,196062.9371,450923.8286
범산목장홈플러스월드컵점,서울특별시 마포구 성산동 515번지 ,,191080.3337,452271.6742
아이스팩토리,서울특별시 강서구 내발산동 720번지 (지상1층) 107호,,185360.7026,449984.7243
지올리띠목동점,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,032 624 3362,189005.1392,447530.1143
에맥앤볼리오스이태원점,서울특별시 용산구 이태원동 63-1번지 ,,199209.293,448246.4731
설빙,서울특별시 동작구 신대방동 708번지 ,02831 6117,193366.4823,443531.3282
밀크램지,서울특별시 마포구 연남동 229-64번지 1층일부 ,,193320.5519,451454.4796
스위트몬스터주식회사,서울특별시 용산구 용산동2가 산 1-3번지 YTN서울타워 지상1층 103호 ,02  69782239,198927.96,450178.1495
젤라리소압구정미성점,서울특별시 강남구 압구정동 415번지 미성상가 ,,201736.4869,447250.2515
소프트리압구정 새서울점,서울특별시 강남구 신사동 575-1번지 지상1층 ,25421140,202344.7981,447371.2115
배스킨라빈스 마천점,서울특별시 송파구 마천동 154-2번지 1층 ,,213432.0055,444469.7553
델리아이스,서울특별시 성북구 보문동4가 54번지 ,02  794 1552,201873.3355,453777.9134
아재크림,서울특별시 종로구 익선동 166-51번지 1층 ,,199088.2758,452683.4811
배스킨라빈스동부이촌점,서울특별시 용산구 이촌동 300-301번지 ,,197890.1726,446616.3689
부르스터스 이대본점,서울특별시 서대문구 대현동 60-61번지 1층 ,,195234.1158,451056.9459
마리웨일마카롱 강서구청점,서울특별시 강서구 화곡동 1117-13번지 삼보빌딩 (지상 1층) 103호,070 77673889,186764.4616,450293.8454
와플대학양천구청캠퍼스,서울특별시 양천구 신정동 323-12번지 양지빌딩2 지상1층 112호,226451060,187871.5772,446267.6643
세계에서두번째로맛있는메론빵아이스홍대점,서울특별시 마포구 서교동 340-1번지 1층 ,,193472.9778,450577.925
GS25 삼선센터점,서울특별시 성북구 삼선동4가 343번지 ,02  929 9956,201261.5949,454561.6592
스티키리키,서울특별시 용산구 갈월동 53-8번지 ,,197697.0347,449575.6201
미피갤러리,서울특별시 동대문구 전농동 591-53번지 ,,204517.6485,453850.0882
도쿄빙수 이수점,서울특별시 동작구 사당동 129-11번지 ,234820503,198230.6605,443135.557
엔젤리아FNB,서울특별시 성동구 행당동 155-1번지 서울숲더샾 주상복합건물 판매시설 B층 ,,203523,450411
도쿄빙수 노량진점,서울특별시 동작구 노량진동 222-17번지 ,,195208.0941,445649.8563
브알라,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,198385.9041,451688.4985
애비뉴(하겐다즈 서초점),"서울특별시 서초구 서초동 1498-5번지 1층, 서초애비뉴 111-1호",,200446,443157
달다고,서울특별시 성동구 하왕십리동 700번지 ,1025096882,202122,451451
배스킨라빈스신풍역,서울특별시 영등포구 신길동 445-11번지 1층 ,,191882.5152,444407.8951
유키,서울특별시 금천구 가산동 371-28번지 ,,189619.3049,442287.1263
범산목장 명동역점 앤스토어,"서울특별시 중구 충무로2가 109-2번지 지하층 A-6,7호 ",,198707.4064,451258.7332
배스킨라빈스 노원세이브존,서울특별시 노원구 하계동 284번지 노원세이브존 지하1층 ,7087433187,206082.7799,459680.7239
에맥앤볼리오스,서울특별시 강남구 신사동 544-16번지 ,,202099.857,446761.0797
